depth,width,num_parameters,R_test,eq_error,test_error
2,36,3174,5,0.09096931666135788,0.05677434429526329
2,36,3174,10,0.6435126066207886,1.4679075479507446
2,36,3174,20,5.1471710205078125,25.71080780029297
2,36,3174,40,26.344839096069336,176.91650390625
3,1,26,5,0.00016831372340675443,3.1252799034118652
3,1,26,10,0.00016837716975715011,12.550422668457031
3,1,26,20,0.00016904920630622655,49.73225402832031
3,1,26,40,0.00016809780208859593,200.0619354248047
3,2,52,5,0.000599039311055094,3.122403383255005
3,2,52,10,0.0006019591237418354,12.514937400817871
3,2,52,20,0.0026231820229440928,49.98533248901367
3,2,52,40,0.013278475031256676,199.43829345703125
3,3,84,5,0.32246464490890503,2.942161798477173
3,3,84,10,0.48851698637008667,12.137164115905762
3,3,84,20,1.3033827543258667,49.97123336791992
3,3,84,40,5.705089092254639,201.69467163085938
3,4,122,5,1.2212742567062378,2.2509336471557617
3,4,122,10,2.290602445602417,9.967032432556152
3,4,122,20,4.182341575622559,46.342342376708984
3,4,122,40,8.365312576293945,198.21163940429688
3,5,166,5,1.3191041946411133,2.139319896697998
3,5,166,10,3.725709915161133,9.13628101348877
3,5,166,20,7.706197738647461,42.43290710449219
3,5,166,40,12.81894588470459,189.7940216064453
3,6,216,5,1.3019150495529175,2.1577937602996826
3,6,216,10,3.7046120166778564,9.127575874328613
3,6,216,20,9.182161331176758,41.49739074707031
3,6,216,40,26.182212829589844,189.61293029785156
3,7,272,5,1.4109057188034058,1.5554726123809814
3,7,272,10,3.863128423690796,7.672179222106934
3,7,272,20,10.389974594116211,41.06022262573242
3,7,272,40,31.384628295898438,193.3562469482422
3,8,334,5,1.4114408493041992,1.3326624631881714
3,8,334,10,5.137223720550537,6.708756446838379
3,8,334,20,19.83902931213379,39.879058837890625
3,8,334,40,70.24984741210938,203.1367950439453
3,9,402,5,1.4270386695861816,1.308371901512146
3,9,402,10,4.9863481521606445,6.584583282470703
3,9,402,20,17.61139488220215,39.09699249267578
3,9,402,40,65.1702651977539,201.91827392578125
3,10,476,5,1.0189894437789917,0.9015881419181824
3,10,476,10,4.589303970336914,5.545092582702637
3,10,476,20,19.163005828857422,39.01506805419922
3,10,476,40,66.10637664794922,204.56143188476562
3,11,556,5,1.3943982124328613,1.1589674949645996
3,11,556,10,4.466763973236084,5.682046890258789
3,11,556,20,14.616703987121582,34.03950500488281
3,11,556,40,52.53974151611328,183.65097045898438
3,12,642,5,1.406610369682312,1.170651912689209
3,12,642,10,4.606689453125,5.693338394165039
3,12,642,20,15.308442115783691,35.77315139770508
3,12,642,40,49.0303840637207,187.58615112304688
3,13,734,5,1.4052674770355225,1.133911371231079
3,13,734,10,4.5578508377075195,5.476946830749512
3,13,734,20,13.569108009338379,32.895484924316406
3,13,734,40,40.20637130737305,174.94093322753906
3,14,832,5,0.4358518123626709,0.31032857298851013
3,14,832,10,2.9328577518463135,3.158581256866455
3,14,832,20,18.679166793823242,32.994163513183594
3,14,832,40,91.61443328857422,211.35597229003906
3,15,936,5,0.3289656937122345,0.23085957765579224
3,15,936,10,2.3994457721710205,2.8361318111419678
3,15,936,20,15.046625137329102,32.39921569824219
3,15,936,40,66.20386505126953,198.6526641845703
3,16,1046,5,0.32666635513305664,0.22885189950466156
3,16,1046,10,2.317960739135742,2.795729160308838
3,16,1046,20,14.938085556030273,31.99712562561035
3,16,1046,40,67.23161315917969,194.27464294433594
3,17,1162,5,0.30265095829963684,0.1992473006248474
3,17,1162,10,2.003316640853882,2.31986927986145
3,17,1162,20,12.162334442138672,28.338220596313477
3,17,1162,40,57.893348693847656,187.52243041992188
3,18,1284,5,0.240839883685112,0.15278108417987823
3,18,1284,10,1.6519743204116821,2.1529834270477295
3,18,1284,20,10.58893871307373,28.911685943603516
3,18,1284,40,43.43757247924805,187.15553283691406
3,19,1412,5,0.23068922758102417,0.15031705796718597
3,19,1412,10,1.5878416299819946,2.2128360271453857
3,19,1412,20,10.529908180236816,30.073904037475586
3,19,1412,40,50.61031723022461,198.499267578125
3,20,1546,5,0.19154532253742218,0.11817453801631927
3,20,1546,10,1.2074273824691772,1.9767242670059204
3,20,1546,20,8.522366523742676,25.748851776123047
3,20,1546,40,40.288963317871094,169.54563903808594
3,21,1686,5,0.1996368169784546,0.12891630828380585
3,21,1686,10,1.3792320489883423,2.3870275020599365
3,21,1686,20,8.785050392150879,30.526975631713867
3,21,1686,40,38.735450744628906,193.339599609375
3,22,1832,5,0.15716981887817383,0.09650826454162598
3,22,1832,10,1.1097012758255005,1.744692087173462
3,22,1832,20,6.957579135894775,26.438478469848633
3,22,1832,40,30.01152801513672,180.83663940429688
3,23,1984,5,0.1755613535642624,0.11096629500389099
3,23,1984,10,1.309096336364746,1.982757329940796
3,23,1984,20,9.400857925415039,28.285221099853516
3,23,1984,40,46.360107421875,184.2769775390625
3,24,2142,5,0.13955092430114746,0.08742188662290573
3,24,2142,10,1.0434383153915405,1.6609013080596924
3,24,2142,20,6.93843936920166,25.594120025634766
3,24,2142,40,30.95840072631836,174.15975952148438
3,25,2306,5,0.15483753383159637,0.09587236493825912
3,25,2306,10,1.0525838136672974,1.9333134889602661
3,25,2306,20,7.131829261779785,26.719284057617188
3,25,2306,40,30.99776268005371,172.95086669921875
3,26,2476,5,0.1354655921459198,0.08307190239429474
3,26,2476,10,0.9834240078926086,1.5875506401062012
3,26,2476,20,7.201929092407227,26.073396682739258
3,26,2476,40,31.74427032470703,176.71875
3,27,2652,5,0.10970186442136765,0.06641694903373718
3,27,2652,10,0.8770583271980286,1.6245200634002686
3,27,2652,20,6.231016159057617,26.801803588867188
3,27,2652,40,28.774383544921875,181.49717712402344
3,28,2834,5,0.13878141343593597,0.08114321529865265
3,28,2834,10,0.9085478782653809,1.6301400661468506
3,28,2834,20,6.884880542755127,26.75830078125
3,28,2834,40,31.2263240814209,179.42173767089844
3,29,3022,5,0.1387760043144226,0.0816260427236557
3,29,3022,10,0.8750979900360107,1.5733280181884766
3,29,3022,20,7.001529693603516,25.503643035888672
